Date,Price
2023-04-14,90.0035
2023-04-15,90.1637
2023-04-18,89.659
2023-04-19,89.5713
2023-04-20,89.3736
2023-04-21,89.4638
2023-04-22,89.3495
2023-04-25,89.4589
2023-04-26,90.0332
2023-04-27,90.1436
2023-04-28,90.2023
2023-04-29,88.3712
2023-05-03,87.6556
2023-05-04,87.575
2023-05-05,86.9986
2023-05-06,84.9073
2023-05-11,84.1498
2023-05-12,82.8877
2023-05-13,84.25
2023-05-16,86.0862
2023-05-17,87.1619
2023-05-18,87.5749
2023-05-19,86.4964
2023-05-20,86.277
2023-05-23,86.4963
2023-05-24,86.5502
2023-05-25,86.1995
2023-05-26,85.8767
2023-05-27,85.919
2023-05-30,85.9013
2023-05-31,86.5119
2023-06-01,86.5009
2023-06-02,86.5764
2023-06-03,87.101
2023-06-06,87.0318
2023-06-07,86.9519
2023-06-08,87.1651
2023-06-09,88.0379
2023-06-10,89.0057
2023-06-14,90.3899
2023-06-15,91.0668
2023-06-16,90.9665
2023-06-17,91.6329
2023-06-20,91.7966
2023-06-21,92.0745
2023-06-22,92.0014
2023-06-23,91.943
2023-06-24,91.4933
2023-06-27,92.2969
2023-06-28,93.1373
2023-06-29,93.8644
2023-06-30,95.1052
2023-07-01,96.0195
2023-07-04,97.2582
2023-07-05,97.7382
2023-07-06,98.4144
2023-07-07,100.7163
2023-07-08,99.8189
2023-07-11,100.4155
2023-07-12,99.6775
2023-07-13,99.889
2023-07-14,100.6788
2023-07-15,101.1992
2023-07-18,101.6496
2023-07-19,102.0271
2023-07-20,102.4441
2023-07-21,101.833
2023-07-22,100.6562
2023-07-25,100.3614
2023-07-26,99.6918
2023-07-27,99.7156
2023-07-28,100.2173
2023-07-29,99.9586
2023-08-01,100.9428
2023-08-02,100.6988
2023-08-03,101.9268
2023-08-04,102.531
2023-08-05,103.8379
2023-08-08,106.0543
2023-08-09,105.4352
2023-08-10,106.8897
2023-08-11,107.1563
2023-08-12,107.9723
2023-08-15,110.6847
2023-08-16,106.5736
2023-08-17,105.6591
2023-08-18,102.181
2023-08-19,101.4802
2023-08-22,102.5719
2023-08-23,102.753
2023-08-24,102.2452
2023-08-25,102.4719
2023-08-26,102.2586
2023-08-29,103.2434
2023-08-30,103.4765
2023-08-31,104.4496
2023-09-01,104.9407
2023-09-02,104.6108
2023-09-05,104.4171
2023-09-06,104.9043
2023-09-07,105.0789
2023-09-08,105.2776
2023-09-09,104.8872
2023-09-12,103.5332
2023-09-13,101.5646
2023-09-14,103.1066
2023-09-15,103.2289
2023-09-16,103.0358
2023-09-19,103.0945
2023-09-20,102.9211
2023-09-21,103.3699
2023-09-22,102.3606
2023-09-23,102.2485
2023-09-26,102.2453
2023-09-27,101.9888
2023-09-28,101.978
2023-09-29,102.0979
2023-09-30,103.1631
2023-10-03,103.868
2023-10-04,104.0621
2023-10-05,104.3024
2023-10-06,104.7877
2023-10-07,106.01
2023-10-10,107.0322
2023-10-11,105.6864
2023-10-12,105.9544
2023-10-13,103.035
2023-10-14,102.5523
2023-10-17,102.52
2023-10-18,102.7527
2023-10-19,102.9059
2023-10-20,102.6255
2023-10-21,101.4257
2023-10-24,100.303
2023-10-25,99.5534
2023-10-26,98.6543
2023-10-27,98.7376
2023-10-28,98.3504
2023-10-31,98.6164
2023-11-01,97.9345
2023-11-02,98.4365
2023-11-03,98.9995
2023-11-04,99.0111
2023-11-08,98.7863
2023-11-09,98.4403
2023-11-10,98.4076
2023-11-11,98.3155
2023-11-14,98.5314
2023-11-15,97.7781
2023-11-16,97.1334
2023-11-17,96.5921
2023-11-18,96.7692
2023-11-21,96.6597
2023-11-22,96.2561
